Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
blinking,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13131.0,1460.0,870.0,590.0,0.0,59.58904109589041,40.41095890410959,0.0,0.10202549855619394,0.459051605015462,0.48723247200359393,96.38699644481515,99.84357828306686,1409.6346030194102,1407.457415218418,2.1771878009922148,0.9655031527530207,0.9640119282317932,0.0014912245212275444,45.342135976529626,0.031056257518170975,3.216587893019059,0.329246935201401,188.0,0.23284589426321708,207.0,0.7671541057367829,682.0,0.670753064798599,383.0,0.4759493670886076,0.329246935201401,0.38923395445134573,0.10589545149437737,0.578780542099488,0.4571341115863766,0.5958904109589042,0.4994893700207202,0.5005106299792798,0.4041095890410959,0.5760691680282259,0.5958904109589042,0.5772765233717341,0.10589545149437737,0.578780542099488,0.5852779269640204,0.5436446128449155,0.5958904109589042,0.094,0.005,0.09375,0.0,93.75,0.0,7731.0,802256.0,90325.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-49122.15351002385,-49180.775089553026,-49171.42175456005,-49085.37034661266,-49062.37034661266
blinking,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13132.0,1459.0,851.0,608.0,0.0,58.327621658670324,41.672378341329676,0.0,0.08462648155677238,0.45739004816143625,0.4833657455866915,96.02764124928653,99.03905405714514,1408.9192174479515,1388.7046586726985,20.214558775252954,0.965674583583243,0.9518195056015755,0.013855077981667548,49.82627043155935,0.03415097356515377,3.536488807485518,0.3432574430823117,196.0,0.26238738738738737,233.0,0.7376126126126126,655.0,0.6567425569176882,375.0,0.4568764568764569,0.3432574430823117,0.39199999999999996,0.08662934301362296,0.5908336094413152,0.44702714982103653,0.5832762165867033,0.5024061608917788,0.497593839108221,0.4167237834132968,0.5658502302965528,0.5832762165867033,0.5691149951292935,0.08662934301362298,0.5908336094413152,0.5911018292885671,0.5375015641293014,0.5832762165867033,0.047,0.001,0.046875,0.0,46.875,0.0,7678.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-48602.2343224512,-48647.59582823994,-48643.72701104796,-48565.157534622434,-48544.157534622434
blinking,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13132.0,1459.0,885.0,574.0,0.0,60.65798492117889,39.34201507882111,0.0,0.13069663350550564,0.45261380554410374,0.47956730517742135,95.02488372445538,98.26077394842552,1408.9192174479515,1372.8774346822495,36.04178276570201,0.965674583583243,0.9409715110913294,0.024703072491913645,70.14978467603906,0.048080729729978795,4.978978482748288,0.3572679509632224,204.0,0.23310810810810811,207.0,0.7668918918918919,681.0,0.6427320490367776,367.0,0.49635036496350365,0.3572679509632224,0.4154786150712831,0.1347113346721729,0.6119963001530427,0.4904035973221637,0.6065798492117889,0.4824200063566746,0.5175799936433254,0.3934201507882111,0.589750920318921,0.6065798492117889,0.5907863587869537,0.1347113346721729,0.6119963001530426,0.6110333065924549,0.559495505882749,0.6065798492117889,0.034,0.001,0.03125,0.0,31.25,0.0,7723.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-49045.080683206594,-49103.70226273579,-49094.86916875325,-49008.816885049106,-48985.816885049106
blinking,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13132.0,1459.0,907.0,552.0,0.0,62.165867032213846,37.834132967786154,0.0,0.14372836376936085,0.45423480016704454,0.48134342036702055,95.365206586189,98.62469044412366,1408.9192174479515,1382.8064042201456,26.112813227805873,0.965674583583243,0.9477768363400587,0.017897747243184287,64.37022475971555,0.044119413817488386,4.568766183508568,0.3134851138353765,179.0,0.18018018018018017,160.0,0.8198198198198198,728.0,0.6865148861646234,392.0,0.528023598820059,0.3134851138353765,0.3934065934065934,0.15405006987913786,0.6094985090168978,0.4872100672716449,0.6216586703221384,0.48835373666694204,0.5116462633330578,0.37834132967786155,0.602262834082422,0.6216586703221384,0.5952869164155615,0.15405006987913786,0.6094985090168978,0.6072081396097765,0.5592530975001094,0.6216586703221384,0.044,0.001,0.046875,0.0,46.875,0.0,7792.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-52349.05772575287,-52408.853534564194,-52401.84799814712,-52308.31290716435,-52283.31290716435
blinking,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13132.0,1459.0,863.0,596.0,0.0,59.150102810143935,40.849897189856065,0.0,0.09915692681279387,0.45594911159935353,0.4862215370531756,95.72512102655132,99.62419044301326,1408.9192174479515,1403.4717299827635,5.447487465188033,0.965674583583243,0.9619408704474047,0.0037337131358382678,53.966352158169606,0.03698858955323482,3.830336863168185,0.3432574430823117,196.0,0.24887387387387389,221.0,0.7511261261261262,667.0,0.6567425569176882,375.0,0.47002398081534774,0.3432574430823117,0.39676113360323884,0.10195746915652215,0.5882411527113803,0.4607520541796939,0.5915010281014393,0.49711745889300146,0.5028825411069985,0.40849897189856066,0.5735476065255678,0.5915010281014393,0.5759621971414792,0.10195746915652215,0.5882411527113803,0.5949673908874058,0.5439764217238992,0.5915010281014393,0.032,0.0,0.03125,0.0,31.25,0.0,8036.0,802317.0,90264.0,99.93145990404386,99.8971898560658,?,0.0,0.0,0.0,0.0,-54674.602970013955,-54767.70688693499,-54762.0014307838,-54638.53511068655,-54605.53511068655
blinking,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13132.0,1459.0,875.0,584.0,0.0,59.972583961617545,40.027416038382455,0.0,0.11876270832342167,0.4565361857234031,0.48448412630651855,95.8751086399801,99.29935159720043,1408.2799838522324,1396.9610953748922,11.318888477340124,0.9652364522633532,0.9574784752398164,0.007757977023536754,53.32899996171135,0.0365517477462038,3.786818003039021,0.35964912280701755,205.0,0.24634420697412823,219.0,0.7536557930258717,670.0,0.6403508771929824,365.0,0.4834905660377358,0.35964912280701755,0.41247484909456744,0.12175420173717079,0.5934975233358988,0.4632970682418557,0.5997258396161754,0.48642092378328616,0.5135790762167138,0.4002741603838245,0.5833293662418255,0.5997258396161754,0.5855165648676542,0.12175420173717079,0.5934975233358988,0.5935245757242952,0.554470272780132,0.5997258396161754,0.028,0.001,0.03125,0.0,31.25,0.0,7910.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-55146.90800384191,-55221.532646442676,-55211.725929515575,-55103.22522397557,-55074.22522397557
blinking,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13132.0,1459.0,855.0,604.0,0.0,58.60178204249486,41.39821795750514,0.0,0.0619680409430178,0.4558513129201547,0.48636697565818776,95.73128158646415,99.68525839914521,1408.2799838522324,1401.378405927496,6.90157792473633,0.9652364522633532,0.9605061041312516,0.004730348132101665,53.94467333465604,0.036973730866796464,3.8305361116540824,0.26666666666666666,152.0,0.2092238470191226,186.0,0.7907761529808774,703.0,0.7333333333333333,418.0,0.44970414201183434,0.26666666666666666,0.33480176211453744,0.06642979335805657,0.5926262506660351,0.457194512798207,0.5860178204249485,0.5285750007774045,0.47142499922259545,0.4139821795750514,0.5578066041967216,0.5860178204249485,0.557021738072702,0.06642979335805657,0.5926262506660351,0.5987183120649994,0.5171521248383633,0.5860178204249485,0.019,0.001,0.015625,0.0,15.625,0.0,7979.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-59191.9211376196,-59273.99034423192,-59261.254076494704,-59145.270563676066,-59114.270563676066
blinking,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13132.0,1459.0,873.0,586.0,0.0,59.83550376970528,40.16449623029472,0.0,0.1063095419775514,0.45426371441702096,0.4844976005423296,95.39787717357312,99.30211326225127,1408.2799838522324,1395.6670563495802,12.612927502652155,0.9652364522633532,0.9565915396501578,0.008644912613195445,62.45403508512823,0.042806055575824696,4.434774036501636,0.3298245614035088,188.0,0.22947131608548932,204.0,0.7705286839145107,685.0,0.6701754385964912,382.0,0.47959183673469385,0.3298245614035088,0.3908523908523909,0.11045731617071378,0.596657983541531,0.46265335693398035,0.5983550376970528,0.4980017923790333,0.5019982076209667,0.4016449623029472,0.5785426199170154,0.5983550376970528,0.5794718724933975,0.11045731617071378,0.596657983541531,0.5953443659990071,0.5456306944037006,0.5983550376970528,0.02,0.002,0.015625,0.0,15.625,0.0,7841.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-50720.20273193475,-50796.105812553214,-50783.60678376064,-50682.58888549925,-50655.58888549925
blinking,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13132.0,1459.0,879.0,580.0,0.0,60.24674434544208,39.75325565455792,0.0,0.08557880996222246,0.45493343235225664,0.48306161758561833,95.53852162149816,99.00779572166822,1408.2799838522324,1387.2398637960125,21.04012005621985,0.9652364522633532,0.9508155337875343,0.01442091847581895,59.66107037556969,0.040891754883872304,4.236449502915735,0.24912280701754386,142.0,0.17097862767154107,152.0,0.829021372328459,737.0,0.7508771929824561,428.0,0.48299319727891155,0.24912280701754386,0.3287037037037037,0.09504916699722224,0.5985149882580467,0.4554153787860691,0.6024674434544208,0.524323264108418,0.47567673589158194,0.3975325565455792,0.574162815175931,0.6024674434544208,0.565681273945561,0.09504916699722224,0.5985149882580467,0.5961718769620965,0.5231639258537992,0.6024674434544208,0.018,0.002,0.015625,0.0,15.625,0.0,7670.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-47217.64994139317,-47268.08400868033,-47261.46373932244,-47182.89426289691,-47161.89426289691
blinking,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02207101055E7,13132.0,1459.0,904.0,555.0,0.0,61.96024674434544,38.03975325565456,0.0,0.13128208429217408,0.45167210891890935,0.4797965048118541,94.85362577258132,98.3385816778599,1408.2799838522324,1372.8751794407738,35.4048044114586,0.9652364522633532,0.9409699653466578,0.024266486916695407,70.95314735103945,0.04863135527829983,5.03828415972746,0.2894736842105263,165.0,0.1687289088863892,150.0,0.8312710911136107,739.0,0.7105263157894737,405.0,0.5238095238095238,0.2894736842105263,0.3728813559322034,0.14318198103499277,0.6125885580091962,0.4755709515505721,0.6196024674434544,0.49885769211931724,0.5011423078806827,0.38039753255654557,0.598250019343234,0.6196024674434544,0.5886561401264996,0.14318198103499277,0.6125885580091962,0.6108801817190981,0.5499428914437209,0.6196024674434544,0.014,0.001,0.0,0.015625,0.0,15.625,7804.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-52483.024995642605,-52542.82080445393,-52535.70012827486,-52442.16503729209,-52417.16503729209
