@RELATION blinking

@ATTRIBUTE frames_since_experiment_started NUMERIC
@ATTRIBUTE frames_since_the_last_blink NUMERIC
@ATTRIBUTE is_blink NUMERIC
@ATTRIBUTE attention_level {True, False}
@DATA
123,123,0,False
154,155,1,False
184,339,0,False
214,369,0,False
245,400,0,False
275,112,1,False
305,417,0,False
336,448,0,False
366,112,0,False
396,508,0,False
427,539,0,False
457,569,0,False
487,599,0,False
517,629,0,False
548,660,0,False
578,690,0,False
608,720,0,False
639,751,0,False
669,781,0,False
699,811,0,False
730,842,0,False
760,872,0,False
790,902,0,False
820,932,0,False
851,963,0,False
881,993,0,False
911,1023,0,False
942,1054,0,False
972,1084,0,False
1002,1114,0,False
1033,1145,0,False
1063,521,1,False
1093,1614,0,False
1123,1644,0,False
1154,1675,0,False
1184,1705,0,False
1214,1735,0,False
1245,571,1,False
1275,1846,0,True
1305,1876,0,True
1336,1907,0,False
1366,1937,0,False
1396,1967,0,False
1427,850,1,False
1457,599,1,False
1487,2086,0,True
1517,2116,0,True
1548,2147,0,False
1578,979,1,False
1608,2587,0,False
1639,2618,0,False
1669,2648,0,False
1699,2678,0,False
1730,2709,0,False
1760,2739,0,False
1790,2769,0,False
1820,2799,0,False
1851,2830,0,False
1881,2860,0,False
1911,1167,0,False
1942,3109,0,False
1972,3139,0,False
2002,3169,0,False
2033,862,1,False
2063,2925,0,False
2093,2955,0,False
2123,2985,0,False
2154,3016,0,False
2184,3046,0,False
2214,1034,1,False
2245,3279,0,False
2275,3309,0,False
2305,3339,0,False
2336,3370,0,False
2366,1119,1,False
2396,3515,0,False
2427,1119,0,False
2457,3576,0,False
2487,3606,0,False
2517,3636,0,False
2548,1328,0,False
2578,3906,0,False
2608,3936,0,False
2639,3967,0,False
2669,3997,0,False
2699,4027,0,False
2730,4058,0,False
2760,4088,0,False
2790,4118,0,False
2820,1415,0,False
2851,1438,1,False
2881,4319,0,True
2911,4349,0,True
2942,4380,0,True
2972,1516,1,True
3002,4518,0,True
3033,4549,0,False
3063,1516,0,False
3093,4609,0,False
3123,4639,0,False
3154,4670,0,False
3184,4700,0,True
3214,4730,0,False
3245,4761,0,False
3275,4791,0,False
3305,4821,0,False
3336,1621,1,False
3366,4987,0,True
3396,5017,0,True
3427,1814,1,True
3457,5271,0,False
3487,5301,0,False
3517,5331,0,False
3548,1814,0,False
3578,5392,0,False
3608,5422,0,True
3639,5453,0,False
3669,5483,0,True
3699,1876,1,True
3730,5606,0,False
3760,5636,0,True
3790,5666,0,False
3820,1946,1,False
3851,5797,0,False
3881,5827,0,False
3911,1946,0,True
3942,1989,1,True
3972,5961,0,False
4002,5991,0,True
4033,6022,0,True
4063,1989,0,True
4093,6082,0,True
4123,6112,0,False
4154,6143,0,True
4184,6173,0,True
4214,6203,0,False
4245,2252,1,False
4275,6527,0,False
4305,6557,0,False
4336,6588,0,False
4366,6618,0,False
4396,6648,0,False
4427,6679,0,False
4457,6709,0,False
4487,6739,0,False
4517,6769,0,False
4548,6800,0,False
4578,6830,0,False
4639,6891,0,False
4669,2419,1,False
4730,7149,0,False
4760,7179,0,False
4820,7239,0,False
4851,7270,0,False
4911,2495,1,False
4942,7437,0,True
4972,7467,0,True
5002,7497,0,True
5033,2535,1,True
5063,7598,0,True
5093,7628,0,True
5124,7659,0,False
5154,2618,1,False
5184,7802,0,False
5214,2592,1,False
5245,7837,0,False
5275,7867,0,False
5305,2617,1,False
5336,7953,0,False
5366,7983,0,False
5396,8013,0,False
5427,8044,0,False
5457,8074,0,False
5487,8104,0,False
5517,8134,0,False
5548,8165,0,False
5578,8195,0,True
5608,8225,0,True
5639,8256,0,True
5669,3047,1,True
5699,8746,0,True
5730,8777,0,True
5760,2710,1,True
5790,8500,0,True
5820,8530,0,True
5851,8561,0,True
5881,8591,0,True
5911,2845,1,True
5942,8787,0,True
5972,8817,0,False
6002,8847,0,True
6033,8878,0,False
6063,8908,0,True
6093,8938,0,True
6124,8969,0,True
6154,8999,0,True
6184,9029,0,True
6214,9059,0,True
6245,9090,0,True
6275,9120,0,False
6305,9150,0,True
6336,9181,0,False
6366,9211,0,True
6396,9241,0,True
6427,9272,0,True
6457,9302,0,True
6487,9332,0,True
6517,3032,1,True
6548,9580,0,True
6578,9610,0,True
6608,3575,1,True
6639,10214,0,True
6669,10244,0,True
6699,10274,0,False
6730,10305,0,False
6760,10335,0,False
6790,10365,0,False
6820,10395,0,False
6851,10426,0,True
6881,10456,0,True
6911,10486,0,True
6942,10517,0,True
6972,10547,0,False
7002,10577,0,False
7033,10608,0,False
7063,10638,0,False
7093,10668,0,False
7124,10699,0,True
7154,10729,0,True
7184,10759,0,True
7214,10789,0,True
7245,10820,0,False
7275,10850,0,False
7305,3912,1,False
7336,11248,0,False
7366,11278,0,False
7396,11308,0,False
7427,11339,0,False
7457,11369,0,False
7487,11399,0,False
7517,11429,0,False
7548,11460,0,False
7578,11490,0,False
7608,11520,0,True
7639,11551,0,True
7669,11581,0,True
7699,11611,0,True
7730,11642,0,True
7760,11672,0,False
7790,11702,0,False
7820,4136,1,False
7851,11987,0,True
7881,12017,0,True
7911,12047,0,True
7942,12078,0,True
7972,12108,0,False
8002,12138,0,False
8033,4244,1,False
8063,12307,0,False
8093,12337,0,True
8124,12368,0,True
8154,12398,0,True
8184,12428,0,True
8214,12458,0,True
8245,12489,0,True
8275,12519,0,True
8305,12549,0,True
8336,4350,1,True
8366,12716,0,True
8396,4045,1,True
8427,12472,0,True
8457,12502,0,True
8487,4045,0,True
8517,12562,0,True
8548,12593,0,False
8578,12623,0,False
8608,4568,1,False
8639,13207,0,False
8669,13237,0,False
8699,4139,1,False
8730,12869,0,False
8760,12899,0,True
8790,4658,1,False
8820,13478,0,True
8851,13509,0,True
8881,13539,0,True
8911,4250,1,True
8942,13192,0,True
8972,13222,0,True
9002,4250,0,True
9033,13283,0,False
9063,13313,0,False
9093,13343,0,False
9124,13374,0,False
9154,4897,1,False
9184,14081,0,False
9214,14111,0,False
9245,14142,0,False
9275,14172,0,False
9305,14202,0,False
9336,14233,0,True
9366,14263,0,True
9396,14293,0,False
9427,4430,1,True
9457,13887,0,False
9487,13917,0,False
9517,13947,0,False
9548,13978,0,False
9578,14008,0,False
9608,14038,0,False
9639,14069,0,False
9669,5165,0,False
9699,14864,0,True
9730,14895,0,True
9760,14925,0,False
9790,5274,1,False
9820,15094,0,False
9851,15125,0,False
9881,5274,0,False
9911,4641,1,False
9942,14583,0,False
9972,14613,0,False
10002,14643,0,False
10033,14674,0,False
10063,14704,0,False
10093,5379,0,False
10124,15503,0,False
10154,15533,0,True
10184,15563,0,True
10214,15593,0,True
10245,15624,0,True
10275,15654,0,False
10305,15684,0,False
10336,15715,0,False
10366,15745,0,False
10396,15775,0,True
10427,15806,0,True
10457,15836,0,True
10487,15866,0,True
10517,15896,0,True
10548,15927,0,True
10578,15957,0,True
10608,15987,0,True
10639,16018,0,False
10669,16048,0,False
10699,16078,0,False
10730,16109,0,False
10760,16139,0,True
10790,16169,0,False
10820,16199,0,True
10851,16230,0,False
10881,4860,1,False
10911,15771,0,False
10942,4860,0,False
10972,15832,0,False
11002,15862,0,False
11033,15893,0,False
11063,15923,0,True
11093,15953,0,False
11123,15983,0,False
11154,16014,0,False
11184,16044,0,False
11214,16074,0,False
11245,16105,0,True
11275,16135,0,True
11305,16165,0,True
11336,16196,0,True
11366,16226,0,True
11396,16256,0,True
11427,16287,0,False
11457,16317,0,False
11487,16347,0,False
11517,16377,0,False
11548,16408,0,False
11578,5225,1,False
11608,16833,0,False
11639,16864,0,False
11669,16894,0,True
11699,16924,0,True
11730,16955,0,True
11760,16985,0,True
11790,17015,0,True
11820,5277,1,True
11851,17128,0,True
11881,6599,1,True
11911,18510,0,True
11942,18541,0,True
11972,18571,0,True
12002,18601,0,True
12033,18632,0,True
12063,18662,0,True
12093,18692,0,False
12123,18722,0,False
12154,18753,0,False
12184,18783,0,False
12214,18813,0,False
12245,5489,1,True
12275,17764,0,True
12305,17794,0,False
12336,17825,0,False
12366,17855,0,False
12396,17885,0,False
12427,17916,0,False
12457,17946,0,True
12487,17976,0,True
12517,18006,0,True
12548,5591,1,True
12578,18169,0,True
12608,18199,0,True
12639,18230,0,True
12669,18260,0,False
12699,18290,0,False
12730,18321,0,False
12760,18351,0,True
12790,18381,0,True
12820,7227,1,False
12851,20078,0,True
12881,20108,0,True
12911,20138,0,True
12942,20169,0,True
12972,20199,0,True
13002,5782,1,True
13033,18815,0,False
13063,18845,0,True
13093,18875,0,True
13123,18905,0,True
13154,18936,0,True
13184,7395,1,True
13214,20609,0,True
13245,20640,0,True
13275,20670,0,True
13305,20700,0,True
13336,20731,0,True
13366,7501,1,True
13396,7501,0,True
13427,20928,0,True
13457,20958,0,True
13487,20988,0,False
13517,21018,0,False
13548,21049,0,False
13578,21079,0,False
13608,21109,0,False
13639,21140,0,False
13669,21170,0,False
13699,6204,1,False
13730,19934,0,False
13760,19964,0,False
13790,19994,0,False
13820,20024,0,True
13851,20055,0,True
13881,20085,0,False
13911,20115,0,True
13942,20146,0,False
13972,20176,0,False
14002,20206,0,False
14033,20237,0,False
14063,20267,0,False
14093,20297,0,False
14123,20327,0,False
14154,20358,0,False
14184,20388,0,False
14214,20418,0,False
14245,20449,0,False
14275,20479,0,False
14305,20509,0,False
14336,20540,0,False
14366,20570,0,False
14396,6415,0,False
14427,8021,1,False
14457,22478,0,False
14487,22508,0,False
14517,8021,0,False
